title,abstract,publish
New plasticizers for energetic materials,"Specific features of the synthesis of new nitroxy-containing N,N'-bis(alkylnitramine) mixtures have been considered. The results of studying the plasticizing ability of the mixtures with respect to various cellulose nitrates, as well as the performance data on energetic materials on their basis, have been reported. Combustion of both the plasticizers and compositions on their basis has been studied in detail.",2007
Molecular Models of Energetic Materials,"A material is considered energetic if a significant portion of the constitutive compounds possesses a molecular structure that can release large quantities of stored chemical energy. Highly energetic materials are commonly employed in the defense and aerospace industries for their application as propellants. Due to the chemical nature of the energy storage, a large portion of molecular simulations of energetic materials have been conducted from a quantum mechanical perspective. Studies of energetic materials that employ classical atomistic models do exist, but the chemical space covered by these classical studies is small when compared to the literature of quantum mechanical studies. One reason for this difference is the requirement of high fidelity force fields for the production of quantitatively meaningful results when using a classical atomistic model. Only a handful of classical models exist for different energetic materials and the parameterization process is typically tedious. The primary focus of this work is the development of classical atomistic models for conventional solid propellant that contains ammonium perchlorate and hydroxyl-terminated polybutadiene. The secondary focus of this work is the investigation of modifying classical models and parameterizing polarizable models for studying energetic deep eutectic solvents.",2021
Electro-analysis of energetic materials,"Cyclic voltammetric studies of triaminoguanidine nitrate (TAGN), 3,3'-hydrazino bis(bis[6,6'-(3,5-dimethylpyrazol-lyl])-1,2,4,5-tetrazine (HBPT), 4,6-dinitrobenzofuroxan (DNBF) and 3,3'-diamino-4,4'-azoxyfurazan (DAAF) were carried out at different pH conditions in 50% aqueous acetonitrile using glassy carbon electrode. Optimum pH was selected for individual compounds. Influence of scan rate and concentration on the voltammetric response were studied in optimum pH. The number of electron transferred was determined by controlled potential coulometry. All compounds undergo diffusion controlled electrochemical reaction. Based on cyclic voltammetric results, differential pulse and square wave voltammetric methods have been developed for the analytical determination. Instrumental parameters such as initial scan potential, amplitude, pulse increment, pulse period, pulse width and frequency were studied. Optimum experimental conditions for each compound were obtained. After fixing optimum conditions, the effect of concentration was studied and calibration plot was arrived. These plots can be used to determine the traces of the above said four energetic materials. (C) 2007 Elsevier B.V. All rights reserved.",2007
Thermal conductivity of energetic materials,"Thermal conductivity has been determined for a variety of energetic materials (EMs) using finite element analysis (FEA) and cookoff data from the Sandia Instrumented Thermal Ignition (SITI) experiment. Materials studied include melt-cast, pressed, and low-density explosives. The low-density explosives were either prills or powders with some experiments run at pour density (not pressed). We have compared several of our thermal conductivities with those in the literature as well as investigated contact resistance between the confining aluminum and explosive, multidimensional heat transfer effects, and uncertainty in the thermocouple bead positions. We have determined that contact resistance is minimal in the SITI experiment, the heat transfer along the midplane is one-dimensional, and that uncertainty in the thermocouple location is greatest near the heated boundary. Our values of thermal conductivity can be used with kinetic mechanisms to accurately predict thermal profiles and energy dissipation during the cookoff of explosives.",2020
Energetic Materials: Synthesis to Detonation,"Energetics like 2,4,6-trinitrophenol (picric acid) have been around for over a century, and although use as a military explosive has dwindled since World War II, picric acid is a popular choice for armature chemists in part to the ease of production and availability of starting materials. To better understand the threat picric acid presents, five published synthetic routs were studied along with five starting materials. Reactions provided a wide range of conditions in which picric acid could be prepared. Recovered materials were methodically characterized using Raman and Infrared spectroscopies, differential scanning calorimetry, and X-ray analysis. Characterization of recovered material shed light on the role synthetic conditions and starting materials play in the formation of picric acid as well as unexpected side-products. Generally, synthetic methods which used laboratory style starting materials or reagents produced pure picric acid. An exception to this was a multi-step reaction which, in addition to picric acid, produced lesser nitrated phenols. Methods that used commercially available or “over-the-counter” (OTC) starting materials or reagents like aspirin (acetylsalicylic acid) or a skin treatment powder (salicylic acid) exhibited the most deviation in recovered products. A simple substitution of concentrated sulfuric acid for drain cleaner led to the formation and isolation of 3,5-dinitrosalicylic acid instead of picric acid. Reactions which used potassium picrate as a nitration source saw the formation of the metal salt potassium picrate allowing for the easy identification of method used. Although the reaction types and materials tested were far from exhaustive, this work provides a better understanding of the preparation of picric acid. There is a dual role that explosive materials must play for military ordnance, which seem to, at times, incompatible. They must be safe to handle, transport, and insensitive to accidental initiation. These same materials must also fully detonate when intended, leaving no unreacted material, and have the highest explosive performance possible. To obtain this goal additives were used to modify explosive behavior of a pressed explosive formulation of 1,3,5-trinitro-1,3,5-triazine (RDX) with polyethylene wax and pressed 2,4-dinitroanisole (DNAN). Chemically inert additives like glass and polymer microspheres or balloons were tested against microencapsulated pentaerythritol tetranitrate (PETN) and thermally expandable microspheres (TEMs). Additives were incorporated into the RDX formulation, then pressed into 13 mm pellets for detonation testing as rate sticks. Incorporation of additives was assessed via micro-X-ray CT. Explosive tests were recorded by high-speed cameras. The detonation velocity of formulations containing inert additives were compared to those with reactive materials added. Although all additives tested reduced the detonation velocity of the formulation compared to the base material, reactive additives allowed for the performance to be tailored. Formulations containing TEMs had a consistent detonation velocity (7.90–7.94 km/s) over a wide range of concentrations (0.5–2.5 % vol). However, after heating to 120 °C for 30 minutes, the TEMs would irreversibly expand inside the formulation decreasing the density of the pellet, in turn, lowering the detonation velocity up to 20% for pellets with 20% vol additive. This drastic reduction in detonation velocity allows for the performance of an explosive formulation to be modified after manufacture, a long-sought goal for tunable munitions. Addition of microencapsulated PETN in formulations had comparable performance to formulations with neat crystalline PETN added. Microencapsulation of PETN reduced the sensitivity of the nitrate ester to impact and friction, lowing the sensitivity of the material from 5.5 J (impact) and 60 N (friction) for the neat PETN, to over 109 J (impact) and 355 N (friction) once microencapsulated. Sensitivity to shock was measured, microcapsules of PETN were packed into a rate sick and shocked by booster pellets of RDX:wax. The reaction light coupled in from booster pellets quicky extinguished roughly halfway through the rate stick (24 mm) indicating that the microcapsules could not sustain a detonation. Pressed RDX:wax formulations that contained microencapsulated PETN performed similarly to those with crystalline PETN added (8.15 km/s vs 8.11 km/s at 5% and 7.83 km/s vs 7.78 km/s at 20%). In the case for pressed pellets of DNAN, microencapsulated PETN stabilized the detonation in the inert material. DNAN with added microencapsulated PETN had a detonation velocity of 5.10 km/s at 5% wt and 5.00 at 20% wt, where neat DNAN would fail to detonate at the same 13 mm diameter scale. Although these mixtures had lower detonation velocities than DNAN mixed with crystalline PETN (5.24 km/s at 5% wt, and 5.30 km/s at 20% wt), microencapsulated PETN did not sensitize the mixture to impact or friction unlike the addition of crystalline PETN. Although in these formulations PETN was only present in very small amounts, in comparison to the bulk explosive, it did contribute to the detonation of tested formulations without sensitization of the formulation to impact or friction. Initiation criteria of an explosive is of paramount importance. Small changes in pressure or detonation velocity can have a compounding effect. Characterizing and recording explosive events required high precision timing as events occur at rate at, or above kilometers per second. Mixtures of RDX with the tree resin “red gum” at 90:10, 95:5, and 98:8 (by weight) explosive to binder were prepared by dry- or wet-mixing. Coating RDX with red gum did not change the sensitivity of the material to impact or friction and had no effect in thermal decomposition by differential scanning calorimetry. Resulting powders were pressed into 13 mm diameter pellets with densities ranging from 1.628–1.683 g/cc. Pellets were tested as rate sticks and recorded using high-speed cameras. Particle velocity at end pellets into an acrylic window was observed by photon doppler velocimetry (PDV). Formulations had detonation velocities between 8.04–8.50 km/s, and an output pressure between 24–29 GPa. Use of red gum as a molding powder afforded structurally ridged explosive pellets, with consistent detonation velocities and output pressures, all while not requiring specialized processing facilities to prepare said formulations. Due to the consistency and ease of preparation, RDX:RG is a good candidate for small-scall explosive testing.",2022
Towards Groundbreaking Green Energetic Materials,"There is an increasingly pressing need for new, high-performance, environmentally benign energetic materials. Indeed, the state-of-the-art explosives and propellants are causing growing concern over their detrimental impact on the environment and human health. It is extremely challenging to find alternatives to the compounds currently in use, which are high performing, relatively insensitive and inexpensive to synthesize. This challenge requires the synthesis of new types of compounds. This dissertation summarizes my contribution to this effort. The approach of the Christe-Haiges research group to the synthesis of new energetic materials involves the targeting of groundbreaking, novel, highly challenging species, the development of efficient synthetic pathways and the characterization of these species. Chapters 2-3 deal with derivatives of 3,5-dinitro-1,2,4-triazole, an energetic building block with suitable properties for potential applications. In CHAPTER 2 the improved synthesis of 3,5-dinitro-1H-1,2,4-triazole (HDNT) and the first structural characterizations of that compound, which had been used in situ for decades, are described. This chapter also discusses the identifcation and structural characterization of common impurities formed when literature synthetic methods are followed. Some of these impurities were found to be dangerously more sensitive than the targetted HDNT. CHAPTER 3 describes the synthesis and structural characterization of over twenty 3,5-dinitro-1,2,4-triazolate (DNT) salts and polymorphs thereof, most of which are highly thermally stable and insensitive. CHAPTER 4-CHAPTER 7 describe the syntheses of hydro‐borane and ‐borate compounds with energetic ligands. Halogen‐free boron‐based energetic materials are promising compounds because of their environmentally benign combustion products and because of the high heat of formation of boron oxide. CHAPTER 4 describes the synthesis of salts of nitroazolate‐trihydroborate complex anions using, among several nitroazolates, some of the precursors described in CHAPTER 2 and CHAPTER 3. CHAPTER 5 describes the synthesis and full characterization of the first room temperature‐stable solid salts of trinitromethyl‐trihydroborate. The compounds demonstrate that boron hydrides can form stable derivatives even with highly oxidizing moieties. CHAPTER 6 describes the synthesis of the dinitramide‐substituted ammonia‐borane NH₃.BH₂[N(NO₂)₂], another example of a surprisingly stable energetic boron compound and the first structurally characterized Group 13‐dinitramide compound. CHAPTER 7 describes the observation of several dinitramide‐hydroborates, which demonstrates the potential use of dinitramide as a weakly coordinating anion. CHAPTER 8 describes the synthesis and characterization of nitryl cyanide, a small molecule which had long eluded synthesis. This species is another spectacular example of the combination of a strong oxidizer and a reducing group. The energy density of this molecule is extremely high and the compound could eventually serve as a replacement for hydrazine as a monopropellant. CHAPTER 9 describes the synthesis of fluorodinitramide, a particularly reactive and marginally stable compound which was characterized by low‐temperature NMR and vibrational spectroscopy. The study of the compound provided insight into the stability of the intriguing fluoronitroamine family.",2015
Intermolecular interactions of energetic materials,"A variety of intermolecular interactions occurs when an energetic material responds to its surroundings. With a better grasp of these energetic material contacts, improved performance on plastic-bonded explosives, superior swab materials for explosives detection, and novel insensitive munitions are possible. In order to further understand these interactions, the following relationships were researched: adhesion between energetic materials and polymer substrates; quantitative collection and detection of energetic materials on electrostatically charged swabs; and noncovalent derivative investigation between energetic material pairs. A number of explosives detectors rely on introduction of the analyte to the instrument via swabs. However, most swab materials are burdened by either poor sorption (pickup) or poor desorption (release). Therefore, finding a swab that can both easily sorb and desorb an explosive is highly desirable. Atomic force microscopy (AFM), while normally employing a sharp (~5 nm) tip for topographic and force measurements, can also be used to measure adhesion between a material and substrate surface. AFM force curve experiments were performed on eleven polymers with nine energetic materials, organic explosives, and energetic salts. Teflon was the least adhesive polymer to all energetic materials, while no distinct trend could be elucidated among the other polymers or energetics. Rather than create a novel swab material for explosives detection, improving current commercial off the shelf (COTS) swabs would be a fast and cost-effective way to increase analyte detection on existing security instrumentation. For this reason, the viability of electrostatically charging COTS swabs was explored. COTS swabs were charged both triboelectrically and inductively, and charge degradation both in time and through changes in relative humidity was determined. For collection efficiency, transfer efficiency, and uncharged swab comparison, quantification of energetic materials on a triple quadrupole liquid chromatograph/mass spectrometer was performed. Limits of quantification for trace amounts of energetic material were typically in the single nanogram level. In addition to adsorption of energetic material comparable to traditional uncharged swabs, electrostatically charged swabs can also adsorb material at standoff, introducing a new noncontact sampling method. The synthesis of the next generation of explosives is increasingly difficult because available novel reagents and synthetic techniques are limited. Energetic material solvates have been known for nearly 65 years, but cocrystallization of an energetic material and another solid has only been demonstrated in the last decade. Relying on noncovalent derivatives (NCDs), cocrystals can tailor explosive properties such as density and detonation velocity, potentially yielding a new energetic material without novel molecule synthesis. The most common synthons for pharmaceutical cocrystallization involve carboxylic acid and amide functionalities, but the majority of common energetic materials are devoid of these groups. With the wealth of knowledge from pharmaceutical cocrystals, utilizing these groups could yield more effective screening for energetic cocrystal pairs. Herein, we present the TNT-nicotinamide cocrystal, an energetic cocrystal with an amide synthon.",2016
Nanoscale additives tailor energetic materials,"The effect of anatase, rutile, and amorphous TiO2 nanoparticles on the combustion of solid rocket propellant was investigated. Each additive increased the burning rate of propellant strands by 30%. Typical fast-burning propellants are unstable due to oversensitivity to pressure variations, but the anatase additive yielded propellants with high yet stable burning rates over a broad pressure range. Anatase nanoparticles also catalyzed the high-temperature decomposition of ammonium perchlorate, a key component of solid propellant.",2007
Curvilinear deflagration of energetic materials,"The effects of material interface curvature on deflagration of a homogeneous solid energetic material ( EM) is studied in a limit when the radius of curvature is much larger than the deflagration front thickness. Under the assumption of quasi- steady burning, a method of matched asymptotics is employed do derive first- order curvature corrections to the mass flux across the gas - solid interface as well as to the interface temperature. As an illustration, a problem of quasi- steady spherical particle deflagration is solved numerically and the simulation results are used to verify those obtained through asymptotic analysis. An algorithm for a fully- coupled unsteady solver suitable for EM deflagration simulation is presented. Numerical solution of the unsteady spherical particle deflagration is used to show that the assumption of quasi- steady deflagration is valid.",2007
Energetic materials at extreme conditions,"In order to effectively model the behaviour of energetic materials under operational conditions it is essential to obtain detailed structural information for these compounds at elevated temperature and/or pressures. The structural characterisation of the high explosives RDX and CL-20 and a series of inorganic azides [Mn+(N3)n] at extreme conditions is described herein. In addition to the characterisation of a highly metastable β -form of RDX (1,3,5- trinitrohexahydro-1,3,5-triazine) at atmospheric pressure, the structure solution of a high-pressure/ high-temperature polymorph is described. This form, obtained above 4.3 GPa and 450 K, has been shown to be distinct from the β -form and has therefore been denoted - RDX. Furthermore, ε -RDX is sufficiently metastable to allow its recovery to ambient pressure at 150 K; it only transforms to the α -form upon warming to 230 K. Finally, the ambient-temperature compression of RDX has been investigated to a maximum pressure of 23.0 GPa, using methanol:ethanol (4:1) as the pressure-transmitting medium; no phase transition was observed under these conditions, other than the α → γ transition at 3.9 GPa. The structure of a high-pressure polymorph of CL-20 (2,4,6,8,10,12- hexanitrohexaazaisowurtzitane) has also been determined by a combination of powder and single-crystal X-ray diffraction. Compression of γ -CL-20 to above 0.7 GPa using Fluorinert (FC-77) as the pressure-transmitting medium results in a phase transition to the ζ -form, which has been found to display structural similarities with both theγ γ - and ε -forms. The high-pressure behaviour of CL-20, however, depends markedly on the starting polymorph and the pressure-transmitting medium selected. Compression of γ -CL-20 in MeOH:EtOH (4:1) results in the formation of a 2:1 CL-20:MeOH solvate at 0.5 GPa. This solvate is stable upon compression to P > 5.0 GPa. It may also be recovered to ambient pressure at 293 K. Meanwhile, no phase transition is observed during the compression of ε -CL-20 to a maximum pressure of 7.2 GPa. Finally, a series of inorganic azides [NaN3, CsN3, TlN3, NH4N3, AgN3 and Pb(N3)2] has been characterised under a range of pressure and temperature conditions. Of the six compounds studied, all displayed at least one polymorphic transition – 5 new forms have been structurally characterised in this work and evidence of another 5 is presented. The combined effect of pressure and temperature results in sodium azide adopting a tetragonal structure common to larger alkali metal azides. Caesium azide has been shown to undergo three phase transitions during compression to 6.0 GPa – the structure of the first high-pressure form is reported. A variable temperature X-ray powder diffraction study of TlN3 has allowed the structural characterisation of the low-temperature TlN3-IV (at 230 K) as well as providing evidence for a phase transition to a high-temperature form above 550 K. The high-pressure form III (obtained above 0.76 GPa) has also been determined by neutron powder diffraction. Silver, ammonium and lead(II) azides have all been shown to undergo a phase transition at high pressures. Compression of silver azide (P > 0.80 GPa) removes an orthorhombic distortion observed at atmospheric pressure, resulting in the tetragonal structure adopted by CsN3 and TlN3 under ambient conditions. Moreover, NH4N3 and Pb(N3)2 have been found to undergo phase transitions at 2.6 GPa, although their high-pressure structures have still to be determined.",2011
Aerosol synthesis of energetic materials,"Aerosols are facile and convenient methods for preparing many types of materials. Ultrasonic spray pyrolysis (USP) and chemical aerosol flow synthesis (CAFS) are two examples of aerosol synthesis techniques that have opened up new opportunities for nanostructured materials with diverse applications including electronics, spintronics, energy, and biology. USP and CAFS use ultrasound directed through liquid precursors to the surface where capillary wave action from the ultrasound results in the formation of fine droplets (diameters < 5 μm). A photograph of ultrasonic nebulization of water is shown in Figure 1a. As shown in Figure 1b and 1c, the droplets are carried into a heated furnace where they undergo various reactions, and the products are collected by bubblers or other particle collectors (e.g. cyclonic, electrostatic, etc). Using these techniques submicrometer particles and nanoparticles of metals, metal nitrides, metal oxides, metal chalcogenides, and carbon with novel applications and morphologies have been produced. Energetic materials such as finely divided aluminum have long been and continue to be of significant interest due the high heat of reaction to form aluminum oxide: 31 kJ/g. There has been an upsurge of interest in submicrometer morphologies of Al for use in high energy nanocomposites (i.e., nanothermite and other highly energetic mixtures for explosives or propellants) and for use in hydrogen storage. Using a modified CAFS process, hollow metallic aluminum particles were prepared (Figure 2). Numerous other metals have been prepared previously using aerosol processes, but this is the first time a metal with a reduction potential more negative than hydrogen has been produced without starting with the metal initially. Solutions of trimethylamine aluminum hydride (TMAH) in toluene were nebulized into a gas stream containing TiCl 4 , which catalyzes the decomposition of the TMAH into metallic aluminum. Characterization revealed the product to consist of hollow agglomerates of aluminum nanoparticles. Macroporous shells were created when the aerosol was heated to 100 °C, and transitioned to nonporous shells when heated to 200 °C. For the nonporous particles, traces of the TiCl 4 catalyst were trapped inside the particles. The prepared aluminum particles were found to be oxide passivated in spite of rigorous efforts to exclude oxygen from the system. The active aluminum content of the particles was measured using a previously reported redox titration method. The particles were found to consist of 72 wt% and 85 wt% active aluminum for particles prepared at 100 and 200 °C, respectively, even after storage at 22 °C and 30% RH for 5 months. A significant drawback to the use of metallic aluminum in energetic materials applications is that no significant amount of expansion gases is generated when reacted in nanothermites. Aluminum carbide, Al 4 C 3 , is a hard ceramic material with few reports in the literature, and no applications to date. It was found that nanoparticles of Al 4 C 3 could be synthesized by the pyrolysis of trialkyl aluminum precursors, and that these nanoparticles were passivated by a layer of amorphous carbon which protected the surface against oxidation unlike previous reports. The size of the nanoparticles could be increased from ~ 80 nm up to 250 nm by increasing the vapor pressure of the precursor, and the thickness of the amorphous carbon layer could be increased from 5 nm up to 15 nm by increasing the furnace temperature from 900 to 1100 °C. The Al 4 C 3 nanoparticles were investigated in energetic materials applications by combining them with metal oxides to form metastable intermolecular composites (MICS). The nanoparticles show excellent brisance when reacted in a flame, and could be a useful energetic material due to the formation of permanent expansion gases (CO or CO 2 ) when reacted.",2010
Anisotropic decomposition of energetic materials,"Using a white x-ray synchrotron beam, we have dynamically studied radiation-induced decomposition in single crystalline PETN and TATB. By monitoring the integrated intensity of selected diffraction spots via a CCD x-ray camera as a function of time, we have found that the decomposition rate varies dramatically depending upon the orientation of the crystalline axes relative to polarized x-ray beam and for differing diffracting conditions (spots) within the same crystalline orientation. We suggest that this effect is due to Compton scattering of the polarized x-rays with electron clouds that is dependent upon their relative orientation. This novel effect may yield valuable insight regarding anisotropic detonation sensitivity in energetic materials such as PETN.",2007
Additive manufacturing of energetic materials: Tailoring energetic performance via printing,"Additive manufacturing (AM), also called three-dimensional (3D) printing, has been developed to obtain energetic materials within the past decade. 3D printing represents a family of flexible manufacturing techniques that enable fast and accurate fabrication of structures with complex 3D features and a broad range of sizes, from submicrometer to several meters. Various methods have already been explored, including templating, melting extrusion, inkjet printing and electrospray methods. It was demonstrated that the structure achieved by AM could be used to manipulate the reactivity of energetic or reactive materials by changing the flow of gases and entrained particles via architecture. By employing different AM techniques, energetic materials with controllable nanostructures and uniformly dispersed ingredients can be prepared. It is exciting to tailor the energy release without defaulting to change the formulation of the conventional method. The combustion and mechanical properties of conventional energetic materials can be retained at the same time. In this review, the preparation and characterization of AM energetic materials that have been developed in the last decade are summarized. Various AM techniques used in the fabrication of energetic materials are compared and discussed. In particular, formulations of energetic materials applied in AM, metallic fuels, binders and energetic fillers and their advantages in terms of combustion efficiency and other properties are proposed. ?? 2022 Published by Elsevier Ltd on behalf of The editorial office of Journal of Materials Science & Technology.",2022
